"title","body","isPullRequest","labels"
"Line comment disappears.","## Issue **Impacted version**: 4.24.1  **Deployment mode**: glassfish5.0  **Problem description**: - It will disappear when reloading the browser after entering line comments for commit.  ![01](https://user-images.githubusercontent.com/4468822/39901215-1325449c-5502-11e8-84cc-f52830f190b9.png) ![02](https://user-images.githubusercontent.com/4468822/39901222-1b1cabc2-5502-11e8-8608-07eb63a2b71e.png)  Reload browzer.  ![03](https://user-images.githubusercontent.com/4468822/39901225-1d36a52a-5502-11e8-8152-3e121724b6b0.png)  ","false","bug"
"sbt 1.1.5",,"true",
"Cannot edit a pull request title","## Issue **Impacted version**: 4.24.x  **Deployment mode**: standalone app  **Problem description**:  Cannot edit a pull request title. Until 4.23.1, it work fine. ","false","bug"
"Windows - Tomcat - Where is ~/.gitbucket/gitbucket.conf?","Hi, i wanted to try out GitBucket. I used it via Tomcat on Windows: Gitbucket 4.24.1 Tomcat 9.0.8 (as service) Windows 10  After some playing around with it, and doing some initial configurations, I broke it because I forgot to add the protocol to the URL base just as in https://github.com/gitbucket/gitbucket/issues/1071 . But because I'm on Windows I have issues locating the configuration file.","false",
"ZIP/tar.gz archive doesn't contain LFS files","### Before submitting an issue to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [x] searched for similar already existing issue - [x] read the documentation and [wiki](https://github.com/gitbucket/gitbucket/wiki)   *(if you have performed all the above, remove the paragraph and continue describing the issue with template below)*  ## Issue **Impacted version**: 4.24.1, current master  **Deployment mode**: standalone/sbt jetty:start  **Problem description**:  step to reproduce: - push some files as LFS - get ZIP by use ""Download ZIP"" button or 0tag/release page's link  problem: ZIP doesn't contains LFS file contents. It only contain pointer.","false",
"[WIP] Experimental use webpack","I tried to introduce webpack. This PR contains the result.  ## advantage to current implementation  - resource bundling  Now, many resources are included from every page. Webpack can bundle these resources.  before: ![20180505-161911](https://user-images.githubusercontent.com/6997928/39669286-c6e6893e-5122-11e8-8894-69b23fdef261.png)  after: ![20180505-162116](https://user-images.githubusercontent.com/6997928/39669295-ef55bb9c-5122-11e8-93cb-09aaeda76fec.png)  Of cource, these resources are cached by browser normally.  - minification  In webpack and sbt-webpack, minify js/css is simply done by `webpack prod` on sbt.  ## advantage to Webjars (#1595)  - Webjars is hard-tied to sbt and node.js  Rather, I think that it is appropriate to say that ""Webjars is overkill"". It imports npm dependency to jars one, so more lines required to write in build.sbt.  Webjars also has more complicated dependency by webjars classic/npm/bower jars. At least I know, trouble will occur when using mixed them.  - management library  webpack uses simple npm's `package.json`. It can use GitHub's repo directory. So, we can manage our customized `jsdifflib` as gitbucket/jsdifflib.  - simplicity  If we needs new javascript library, adding it is very easy. `npm install --save` and `require('library');` to `main.js`.  ## disadvantage  - need node.js/npm install for developer  **User** doesn't need node/npm. Simply run `java -jar gitbucket.war`. But for building GitBucket, `npm install` downloads node_modules and sbt-webpack requires node.js.  ## TODOs  I didn't check all functionality behavior. At least, diff doesn't work yet. It is required to do modulerize our javascript files. ","true",
"Fix JSON diff issue.","This PR fix Problem: JSON file's diff doesn't appear in the commit page.  In #1871, `data-val` contains contents for diff. But it read by `$().data(""val"")`. But `.data()` parses contents. For example: content is a JSON file.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","bug"
"Introduce new Renderer","# Introduce **new** rendering approach  This PR introduce `EnhancedRenderer` and some extended classes.  ## Changes  ### All files rendered by `EnhancedRenderer`.  - It makes more simple logic for blob/diff view. - Previous `Renderer` assumes used for render *Markup*. So, image/video/audio renderer is tricky.  ### correct handling image files  Previously, GitBucket detects image files by MIME-type. But, some `image/xxx` files can't render by browser. for example tiff file can't render by `img` tag.  `EnhancedRenderer` provides `ImageRenderer` trait. It represents ""file can render by img tag"".  ### Image file is not limited to binary  For example, SVG file is text but it can rendered by img tag. So this PR introduce `TextImageRenderer`. It extends `TextRenderer` and `ImageRenderer`. For `TextImageRenderer` repository viewer and diff viewer render both image and source text .  ![image](https://user-images.githubusercontent.com/6997928/39613099-e4fc15a8-4f9f-11e8-8c59-5ea88eaca86e.png)  ![image](https://user-images.githubusercontent.com/6997928/39613109-f626d142-4f9f-11e8-986b-31d2b5fd0a8f.png)   ### Allow read file as string or binary for `EnhancedRenderer`  `EnhancedRenderer` can read file as binary. So, it can render with format converter (for example, tiff to png).  It enables direct serving image file with data-URI. It reduce number of connections.  ![20180503-132639](https://user-images.githubusercontent.com/6997928/39613137-371a0be2-4fa0-11e8-84fc-7f4c16ccd606.png)   ### Diffs rendered by `EnhancedRenderer`.  If plugin has new renderer which extends `ImageRenderer`, automatically rendered with Image Diff tool.  or, If renderer extends `DiffRenderer`, diffs are rendered with custom diff rendering.  for example: JSON diff by [benjamine/JsonDiffPatch](https://github.com/benjamine/JsonDiffPatch)  ![image](https://user-images.githubusercontent.com/6997928/39614069-acee711c-4fa7-11e8-8ebe-b658b268ad2d.png)   ## Compatibility  The `RendererWrapper` wraps old-style `Renderer` to new-style `EnhancedRenderer`. So, no changes required for old-style Renderer plugins.  ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [x] rebased my branch over master - [x] verified that project is compiling - [x] verified that tests are passing - [x] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true",
"Show SMTP Error message in testing email settings","This PR add show SMTP error message as follows:  before:  ![image](https://user-images.githubusercontent.com/6997928/39505995-028d94e2-4e11-11e8-876f-540374337786.png)    after: ![image](https://user-images.githubusercontent.com/6997928/39505977-db182724-4e10-11e8-8aa3-d43021970886.png)   ### Before submitting a pull-request to GitBucket I have first:  - [x] read the [contribution guidelines](https://github.com/gitbucket/gitbucket/blob/master/.github/CONTRIBUTING.md) - [ ] rebased my branch over master - [x] verified that project is compiling - [ ] verified that tests are passing - [ ] squashed my commits as appropriate *(keep several commits if it is relevant to understand the PR)* - [ ] [marked as closed using commit message](https://help.github.com/articles/closing-issues-via-commit-messages/) all issue ID that this PR should correct ","true","improvement"
"What if forks button be at the top right","What if the forks button leave the side menu to the top right of the repository. Just thinking aloud. ","false","improvement"
